nohup python train.py new -nb 32 -af par/arch.basic.json -tf par/train.basic.json -si 1000 -rws 1000000 -fpu 1.0 /mnt/data/ckpt/ae-wavenet/full%.ckpt /mnt/data/librispeech.dev-clean.rdb > ../../full.log 2>& 1 &
nohup: ignoring input
Initializing model parameters
Starting training...
Step	Loss	AvgProbTarget	PeakDist	AvgMax
0	6.66073	0.00394	65.54933	0.09090
10	5.70685	0.00496	49.70761	0.03354
20	5.54577	0.00504	47.05232	0.02857
30	5.43756	0.00510	47.42469	0.01912
40	5.39568	0.00528	46.57148	0.02194
50	5.43824	0.00505	47.94815	0.03081
60	5.22184	0.00660	39.68941	0.03081
70	5.04230	0.00778	37.66391	0.04293
80	5.01674	0.00807	34.91858	0.05784
90	5.01576	0.00638	41.40374	0.03709
100	4.82980	0.00700	42.97318	0.03141
110	4.61712	0.01027	34.41427	0.05701
120	4.65827	0.00853	41.67912	0.05928
130	4.69492	0.00709	43.26987	0.03658
140	4.53711	0.00957	38.61590	0.05383
150	4.62835	0.00739	37.57878	0.05389
160	5.03130	0.00572	47.09746	0.02914
170	4.58089	0.00890	37.63877	0.05653
180	4.50866	0.01026	32.46947	0.04569
190	4.48754	0.00953	34.47150	0.06440
200	4.65966	0.00822	38.55568	0.05021
210	4.63757	0.00766	47.55101	0.05572
220	4.42633	0.00879	42.35860	0.04989
230	4.29379	0.01204	34.89320	0.07602
240	4.37704	0.01092	39.20797	0.07502
250	4.28365	0.01019	35.05424	0.07012
260	4.75136	0.00561	47.53735	0.02373
270	4.47797	0.00601	42.63039	0.03843
280	4.41622	0.00568	43.76664	0.02510
290	4.56792	0.00602	41.12871	0.03287
300	4.36622	0.00586	44.38063	0.03196
310	4.39905	0.00558	43.79729	0.02890
320	4.22855	0.00618	38.92936	0.03909
330	4.12058	0.00713	34.71312	0.05359
340	3.98082	0.00675	35.73479	0.05900
350	3.84604	0.00731	28.41164	0.05512
360	4.15422	0.00547	44.91571	0.04695
370	3.99540	0.00688	37.48479	0.05936
380	4.03482	0.00623	31.56238	0.05785
390	3.97674	0.00579	23.76999	0.06681
400	3.42920	0.00710	10.98240	0.10305
410	3.58615	0.01038	15.36434	0.12466
420	3.76125	0.00750	16.68941	0.11072
430	3.60955	0.00704	16.94899	0.10144
440	3.08182	0.01285	10.10728	0.14432
450	3.70023	0.00537	13.85010	0.07373
460	3.38741	0.00754	11.04873	0.11829
470	3.44488	0.00572	12.23707	0.09205
480	3.21584	0.00569	8.11255	0.09598
490	3.35601	0.00588	11.77981	0.12003
500	3.25750	0.00527	10.38757	0.10333
510	3.33255	0.00467	12.84028	0.08828
520	3.16834	0.00590	5.73348	0.09262
530	3.20742	0.00781	8.48767	0.10524
540	3.38442	0.00780	9.18702	0.10728
550	3.29940	0.00632	12.48779	0.11790
560	3.30615	0.00544	11.53520	0.10171
570	3.24176	0.00577	12.32447	0.10986
580	3.18723	0.00596	9.05520	0.12297
590	2.83200	0.00605	5.10560	0.13738
600	2.98084	0.00712	7.83776	0.14564
610	2.71847	0.00974	6.09064	0.18782
620	2.60462	0.01193	4.55316	0.21492
630	2.56853	0.01185	6.30951	0.21405
640	3.02742	0.00725	8.61039	0.14214
650	2.52465	0.00804	3.63374	0.18722
660	2.44871	0.00659	3.27610	0.19042
670	2.75736	0.00647	4.63063	0.15198
680	3.09209	0.00600	9.12428	0.14674
690	3.03678	0.00598	9.00970	0.13737
700	2.68628	0.00599	4.88578	0.15989
710	3.04777	0.00545	8.42217	0.12913
720	3.04865	0.00568	8.44540	0.14802
730	3.08064	0.00562	8.53616	0.14018
740	3.18428	0.00902	9.89943	0.12933
750	2.88879	0.01007	6.12201	0.13028
760	2.68636	0.00871	4.67301	0.17382
770	3.03822	0.00585	8.68355	0.12803
780	2.84694	0.00625	7.02359	0.14687
790	2.80414	0.00617	6.16020	0.16501
800	3.01958	0.00561	7.26880	0.14766
810	2.89497	0.00602	6.64691	0.15850
820	2.72111	0.00632	5.97689	0.16337
830	2.93951	0.00675	8.26796	0.14349
840	3.14187	0.00866	8.63182	0.14626
850	3.13478	0.00553	8.35021	0.13230
860	3.03846	0.00920	8.96348	0.16501
870	3.19560	0.00748	9.75778	0.13621
880	3.14135	0.00719	8.95714	0.13182
890	3.00126	0.00599	6.54945	0.13239
900	2.91641	0.00561	6.87955	0.13830
910	2.94487	0.00594	6.99282	0.14684
920	3.08267	0.00683	8.64104	0.12598
930	3.07904	0.00531	8.42158	0.12234
940	3.04743	0.00539	8.69109	0.12576
950	3.23008	0.00606	8.84710	0.12495
960	3.12322	0.00542	8.80400	0.12674
970	3.11117	0.00729	7.81777	0.12648
980	3.18191	0.00658	9.66248	0.13055
990	2.76402	0.01067	6.31956	0.16577
1000	2.68206	0.00579	4.89368	0.16145
Saved checkpoint to /mnt/data/ckpt/ae-wavenet/full1000.ckpt
1010	3.01859	0.00592	7.73563	0.13317
1020	3.04369	0.00583	8.96636	0.14326
1030	2.91307	0.00548	6.85656	0.14569
1040	2.87419	0.00724	7.15362	0.16057
1050	2.76969	0.00838	6.20438	0.16831
1060	2.94483	0.00670	8.89775	0.14244
1070	2.87404	0.00693	7.11829	0.16822
1080	2.77498	0.00886	5.56956	0.16203
1090	3.33083	0.00597	10.08393	0.11377
1100	3.18288	0.00591	9.46564	0.12195
1110	2.87133	0.01001	6.84842	0.17776
1120	2.79739	0.00662	6.84950	0.17672
1130	2.88968	0.00480	7.50335	0.15091
1140	2.61876	0.00825	8.11111	0.20580
1150	2.78869	0.00584	6.41786	0.17552
1160	2.98100	0.00703	7.92541	0.15671
1170	2.74401	0.00575	5.07196	0.16881
1180	2.67681	0.00882	5.53137	0.18611
1190	2.76825	0.00799	6.20306	0.18375
1200	2.79742	0.00704	7.63170	0.18185
1210	2.46790	0.00627	3.78927	0.19234
1220	2.90801	0.00728	8.20881	0.16132
1230	2.94563	0.00660	6.31334	0.15890
1240	3.01796	0.00650	7.23300	0.15346
1250	2.93731	0.00712	7.43499	0.16446
1260	3.25980	0.00537	10.42385	0.10912
1270	3.14164	0.00538	8.52323	0.13414
1280	2.81126	0.00542	5.84614	0.15412
1290	2.75833	0.00725	6.37057	0.17811
1300	2.53782	0.00976	5.23707	0.21064
1310	2.59489	0.00702	4.31298	0.17110
1320	2.86540	0.00625	6.86219	0.15155
1330	2.71670	0.00683	5.17648	0.17313
1340	2.75158	0.00577	5.43894	0.16158
1350	2.87513	0.01035	7.31082	0.18132
1360	2.61028	0.00953	5.10716	0.19037
1370	2.72034	0.00663	5.33321	0.16042
1380	2.48532	0.00928	4.43499	0.20115
1390	2.83902	0.00678	5.61147	0.16047
1400	2.63733	0.01322	5.32795	0.20977
1410	2.78052	0.01005	7.09447	0.18074
1420	2.60327	0.00967	4.64033	0.19721
1430	3.04716	0.00643	7.88733	0.14687
1440	2.74379	0.00738	6.05795	0.18900
1450	2.99852	0.00678	7.33118	0.14244
1460	3.06846	0.00662	7.91104	0.13758
1470	2.85562	0.00680	6.11267	0.15456
1480	2.72737	0.00593	6.75599	0.17853
1490	2.31471	0.00755	3.51557	0.21285
1500	2.62450	0.00694	4.73288	0.18410
1510	3.22426	0.00710	9.86794	0.12179
1520	3.28708	0.00624	11.16499	0.11534
1530	3.12092	0.00752	8.91595	0.14254
1540	3.04308	0.00757	6.85536	0.14137
1550	3.06093	0.00783	7.07974	0.13139
1560	3.23815	0.00725	8.66403	0.11636
1570	2.74154	0.00877	5.78963	0.17411
1580	2.42347	0.01071	4.75970	0.22790
1590	2.76834	0.00827	6.08166	0.17412
1600	2.77775	0.00729	7.38685	0.18044
1610	2.76105	0.00613	6.33285	0.16992
1620	2.72077	0.00841	6.74593	0.20177
1630	2.70875	0.00683	6.76664	0.18193
1640	2.93674	0.00829	7.46085	0.17790
1650	2.73079	0.00665	5.49054	0.16728
1660	2.60637	0.00796	4.47102	0.18272
1670	2.59005	0.00896	6.81609	0.23257
1680	2.61570	0.00618	5.58178	0.19591
1690	2.39183	0.00828	3.72557	0.22694
1700	2.79557	0.00653	6.42565	0.17750
1710	3.11821	0.00635	7.95989	0.14060
1720	2.97524	0.00679	7.80747	0.16221
1730	2.85840	0.00591	6.71755	0.15744
1740	2.47712	0.01213	5.14116	0.21832
1750	2.88432	0.00767	7.10704	0.15732
1760	2.66427	0.00820	4.57399	0.17766
1770	3.01803	0.00582	7.88685	0.14526
1780	2.80344	0.00781	6.49306	0.16621
1790	2.73260	0.00570	6.61063	0.15813
1800	2.45691	0.00597	4.95474	0.20820
1810	2.81347	0.00633	6.31058	0.16622
1820	2.68905	0.00646	5.41104	0.17391
1830	2.55818	0.00708	5.58214	0.19659
1840	2.53600	0.01061	5.03784	0.21235
1850	2.47984	0.00880	4.96648	0.19531
1860	2.76543	0.01000	6.41403	0.18302
1870	2.57636	0.01034	4.38745	0.20862
1880	2.79167	0.00781	5.66798	0.16167
1890	2.62978	0.01026	5.07818	0.20027
1900	2.95898	0.00715	6.23467	0.13612
1910	2.75976	0.00647	6.91140	0.18266
1920	2.93959	0.00722	6.63446	0.15195
1930	2.86457	0.00791	5.42337	0.14320
1940	3.00291	0.00743	6.25431	0.13613
1950	2.90500	0.00734	5.90218	0.13987
1960	2.62112	0.00821	4.44995	0.18828
1970	2.49094	0.00929	3.86015	0.20534
1980	2.46517	0.00837	3.63805	0.20196
1990	2.32326	0.00668	3.29430	0.20933
2000	2.59924	0.00607	5.69864	0.19824
Saved checkpoint to /mnt/data/ckpt/ae-wavenet/full2000.ckpt
2010	2.47777	0.00696	4.15374	0.19653
2020	2.64001	0.00590	6.59363	0.19983
2030	2.65116	0.00888	5.37512	0.18759
2040	2.72883	0.00593	6.57639	0.17616
2050	2.60458	0.00582	4.11135	0.17200
2060	2.62336	0.01420	5.46863	0.19670
2070	2.63927	0.00821	4.63625	0.19126
2080	2.55294	0.00923	4.49988	0.19589
2090	2.89332	0.00666	7.76808	0.17455
2100	2.68968	0.00602	5.60357	0.18078
2110	2.56659	0.00623	4.82627	0.19576
2120	3.11226	0.00724	8.40757	0.12526
2130	3.01763	0.00751	6.68858	0.12949
2140	2.97086	0.00793	6.17002	0.13460
2150	3.17475	0.00564	10.82076	0.12155
2160	3.61512	0.00616	11.06873	0.11316
2170	3.11458	0.00591	6.81322	0.11305
2180	3.41845	0.00628	10.56130	0.10135
2190	3.05680	0.00553	7.37213	0.13642
2200	2.71041	0.00584	5.92277	0.17291
2210	2.84167	0.00623	6.15888	0.15410
2220	2.58086	0.00751	6.17780	0.21406
2230	2.65336	0.00890	5.43774	0.19140
2240	2.70330	0.00787	5.45283	0.17768
2250	2.72741	0.00680	5.97019	0.17529
2260	2.63708	0.00878	6.49054	0.20948
2270	2.51103	0.00781	4.69097	0.21464
2280	2.71962	0.00687	6.83261	0.18552
2290	2.67264	0.00708	6.18977	0.18443
2300	2.74768	0.00727	8.11566	0.20395
2310	3.01899	0.00566	8.53676	0.14185
2320	2.98119	0.00572	8.53317	0.14350
2330	2.64680	0.00723	6.14871	0.21424
2340	2.69388	0.01163	5.68666	0.20296
2350	3.13728	0.00559	9.14009	0.13116
2360	3.24074	0.00551	9.66966	0.11507
2370	3.05343	0.00533	8.23755	0.12897
2380	2.60543	0.00573	4.72557	0.17856
2390	2.65020	0.00640	6.53855	0.18530
2400	2.66701	0.00574	5.77275	0.17889
2410	2.78377	0.00704	6.84339	0.17638
2420	2.78696	0.00556	7.35129	0.18201
2430	2.55613	0.00623	5.66056	0.20140
2440	2.94221	0.00688	9.38146	0.16041
2450	2.93039	0.00582	6.96336	0.14550
2460	3.01077	0.00577	8.90649	0.14891
2470	2.85082	0.00562	6.69097	0.15403
2480	2.65768	0.00615	4.50587	0.17242
2490	2.48694	0.00609	5.07028	0.21959
2500	2.78177	0.00577	6.62356	0.17209
2510	3.25047	0.00603	8.13135	0.10615
2520	3.16453	0.00495	9.37213	0.11942
2530	3.04452	0.00764	8.83094	0.12263
2540	3.04047	0.00633	8.38985	0.14717
2550	3.10786	0.00576	8.58465	0.13274
2560	3.07376	0.00565	8.52814	0.13471
2570	2.52240	0.01181	6.08034	0.22120
2580	2.43037	0.00714	4.54430	0.21038
2590	2.58623	0.00716	5.79969	0.21061
2600	2.56126	0.00794	4.49306	0.20453
2610	2.52293	0.00658	3.78053	0.19078
2620	2.56859	0.00764	4.34507	0.19926
2630	2.76011	0.00712	6.52179	0.17587
2640	2.57426	0.01008	5.67792	0.22149
2650	2.74378	0.00638	5.22067	0.16952
2660	2.69279	0.00813	5.15398	0.19908
2670	2.76138	0.00539	6.13350	0.16482
2680	2.55628	0.00722	5.63434	0.22609
2690	2.55226	0.00690	5.63937	0.21755
2700	3.07587	0.00750	8.16212	0.12975
